SEASON,YEAR,WEEK,CURRENT WEEK DEATHS, PREVIOUS WEEKS DEATHS ,WEEK NUMBER,YEAR TOTAL DEATHS
2015-16,2015,40,0,0,2015-40,93
2015-16,2015,41,0,0,2015-41,93
2015-16,2015,42,0,0,2015-42,93
2015-16,2015,43,0,0,2015-43,93
2015-16,2015,44,0,2,2015-44,93
2015-16,2015,45,0,0,2015-45,93
2015-16,2015,46,0,0,2015-46,93
2015-16,2015,47,0,0,2015-47,93
2015-16,2015,48,0,2,2015-48,93
2015-16,2015,49,0,1,2015-49,93
2015-16,2015,50,0,1,2015-50,93
2015-16,2015,51,0,1,2015-51,93
2015-16,2015,52,0,1,2015-52,93
2015-16,2016,1,0,0,2016-01,110
2015-16,2016,2,0,2,2016-02,110
2015-16,2016,3,0,0,2016-03,110
2015-16,2016,4,0,3,2016-04,110
2015-16,2016,5,0,1,2016-05,110
2015-16,2016,6,0,2,2016-06,110
2015-16,2016,7,0,5,2016-07,110
2015-16,2016,8,0,7,2016-08,110
2015-16,2016,9,0,6,2016-09,110
2015-16,2016,10,0,4,2016-10,110
2015-16,2016,11,0,9,2016-11,110
2015-16,2016,12,0,8,2016-12,110
2015-16,2016,13,0,11,2016-13,110
2015-16,2016,14,0,9,2016-14,110
2015-16,2016,15,0,4,2016-15,110
2015-16,2016,16,0,1,2016-16,110
2015-16,2016,17,0,2,2016-17,110
2015-16,2016,18,0,1,2016-18,110
2015-16,2016,19,0,3,2016-19,110
2015-16,2016,20,0,0,2016-20,110
2015-16,2016,21,0,2,2016-21,110
2015-16,2016,22,0,1,2016-22,110
2015-16,2016,23,0,1,2016-23,110
2015-16,2016,24,0,0,2016-24,110
2015-16,2016,25,0,1,2016-25,110
2015-16,2016,26,0,0,2016-26,110
2015-16,2016,27,0,1,2016-27,110
2015-16,2016,28,0,1,2016-28,110
2015-16,2016,29,0,0,2016-29,110
2015-16,2016,30,0,0,2016-30,110
2015-16,2016,31,0,0,2016-31,110
2015-16,2016,32,0,0,2016-32,110
2015-16,2016,33,0,0,2016-33,110
2015-16,2016,34,0,0,2016-34,110
2015-16,2016,35,0,0,2016-35,110
2015-16,2016,36,0,0,2016-36,110
2015-16,2016,37,0,0,2016-37,110
2015-16,2016,38,0,0,2016-38,110
2015-16,2016,39,0,0,2016-39,110
2016-17,2016,40,0,0,2016-40,110
2016-17,2016,41,0,0,2016-41,110
2016-17,2016,42,0,0,2016-42,110
2016-17,2016,43,0,0,2016-43,110
2016-17,2016,44,0,0,2016-44,110
2016-17,2016,45,0,0,2016-45,110
2016-17,2016,46,0,0,2016-46,110
2016-17,2016,47,0,0,2016-47,110
2016-17,2016,48,0,1,2016-48,110
2016-17,2016,49,0,1,2016-49,110
2016-17,2016,50,0,1,2016-50,110
2016-17,2016,51,0,4,2016-51,110
2016-17,2016,52,0,1,2016-52,110
2016-17,2017,1,0,5,2017-01,97
2016-17,2017,2,0,4,2017-02,97
2016-17,2017,3,0,4,2017-03,97
2016-17,2017,4,0,9,2017-04,97
2016-17,2017,5,0,5,2017-05,97
2016-17,2017,6,0,8,2017-06,97
2016-17,2017,7,0,12,2017-07,97
2016-17,2017,8,0,11,2017-08,97
2016-17,2017,9,0,1,2017-09,97
2016-17,2017,10,0,4,2017-10,97
2016-17,2017,11,0,5,2017-11,97
2016-17,2017,12,0,3,2017-12,97
2016-17,2017,13,0,3,2017-13,97
2016-17,2017,14,0,5,2017-14,97
2016-17,2017,15,0,10,2017-15,97
2016-17,2017,16,0,3,2017-16,97
2016-17,2017,17,0,3,2017-17,97
2016-17,2017,18,0,1,2017-18,97
2016-17,2017,19,0,0,2017-19,97
2016-17,2017,20,0,1,2017-20,97
2016-17,2017,21,0,2,2017-21,97
2016-17,2017,22,0,0,2017-22,97
2016-17,2017,23,0,1,2017-23,97
2016-17,2017,24,0,0,2017-24,97
2016-17,2017,25,0,0,2017-25,97
2016-17,2017,26,0,0,2017-26,97
2016-17,2017,27,0,0,2017-27,97
2016-17,2017,28,0,0,2017-28,97
2016-17,2017,29,0,0,2017-29,97
2016-17,2017,30,0,0,2017-30,97
2016-17,2017,31,0,0,2017-31,97
2016-17,2017,32,0,0,2017-32,97
2016-17,2017,33,0,1,2017-33,97
2016-17,2017,34,0,0,2017-34,97
2016-17,2017,35,0,1,2017-35,97
2016-17,2017,36,0,0,2017-36,97
2016-17,2017,37,0,0,2017-37,97
2016-17,2017,38,0,0,2017-38,97
2016-17,2017,39,0,0,2017-39,97
2017-18,2017,40,0,0,2017-40,97
2017-18,2017,41,0,0,2017-41,97
2017-18,2017,42,0,1,2017-42,97
2017-18,2017,43,0,0,2017-43,97
2017-18,2017,44,0,3,2017-44,97
2017-18,2017,45,0,2,2017-45,97
2017-18,2017,46,0,2,2017-46,97
2017-18,2017,47,0,1,2017-47,97
2017-18,2017,48,0,0,2017-48,97
2017-18,2017,49,0,0,2017-49,97
2017-18,2017,50,0,3,2017-50,97
2017-18,2017,51,0,7,2017-51,97
2017-18,2017,52,0,6,2017-52,97
2017-18,2018,1,1,11,2018-01,13
2017-18,2018,2,1,9,2018-02,13
2017-18,2018,3,1,13,2018-03,13
2017-18,2018,4,2,13,2018-04,13
2017-18,2018,5,1,9,2018-05,13
2017-18,2018,6,3,4,2018-06,13
2017-18,2018,7,4,0,2018-07,13
2017-18,2018,8,0,0,2018-08,13
2017-18,2018,9,0,0,2018-09,13
2017-18,2018,10,0,0,2018-10,
2017-18,2018,11,0,0,2018-11,
2017-18,2018,12,0,0,2018-12,
2017-18,2018,13,0,0,2018-13,
2017-18,2018,14,0,0,2018-14,
2017-18,2018,15,0,0,2018-15,
2017-18,2018,16,0,0,2018-16,
2017-18,2018,17,0,0,2018-17,
2017-18,2018,18,0,0,2018-18,
2017-18,2018,19,0,0,2018-19,
2017-18,2018,20,0,0,2018-20,
2017-18,2018,21,0,0,2018-21,
2017-18,2018,22,0,0,2018-22,
2017-18,2018,23,0,0,2018-23,
2017-18,2018,24,0,0,2018-24,
2017-18,2018,25,0,0,2018-25,
2017-18,2018,26,0,0,2018-26,
2017-18,2018,27,0,0,2018-27,
2017-18,2018,28,0,0,2018-28,
2017-18,2018,29,0,0,2018-29,
2017-18,2018,30,0,0,2018-30,
2017-18,2018,31,0,0,2018-31,
2017-18,2018,32,0,0,2018-32,
2017-18,2018,33,0,0,2018-33,
2017-18,2018,34,0,0,2018-34,
2017-18,2018,35,0,0,2018-35,
2017-18,2018,36,0,0,2018-36,
2017-18,2018,37,0,0,2018-37,
2017-18,2018,38,0,0,2018-38,
2017-18,2018,39,0,0,2018-39,
